substrate,generation,enzyme,row,col,well,reactivity,active
Aniline,gen3,AncFDMO_791_c1,A,1,A1,0.0,False
Aniline,gen3,AncFDMO_1818_c5,A,2,A2,0.0,False
Aniline,gen3,AncFDMO_162_c8,A,3,A3,0.0,False
Aniline,gen3,AncFDMO_1809_c11,A,4,A4,0.0,False
Aniline,gen3,AncFDMO_2310_c14,A,5,A5,0.0,False
Aniline,gen3,AncFDMO_1370_c18,A,6,A6,0.0,False
Aniline,gen3,AncFDMO_1795_c20,A,7,A7,0.0,False
Aniline,gen3,AncFDMO_1317_c24,A,8,A8,0.0,False
Aniline,gen3,AncFDMO_1758_c27,A,9,A9,0.0,False
Aniline,gen3,AncFDMO_1550_c31,A,10,A10,0.0,False
Aniline,gen3,AncFDMO_205_c34,A,11,A11,0.0,False
Aniline,gen3,AncFDMO_240_c38,A,12,A12,0.0,False
Aniline,gen3,AncFDMO_687_c1,A,13,A13,0.0,False
Aniline,gen3,AncFDMO_1491_c5,A,14,A14,0.0,False
Aniline,gen3,AncFDMO_747_c9,A,15,A15,0.0,False
Aniline,gen3,AncFDMO_521_c12,A,16,A16,0.0,False
Aniline,gen3,AncFDMO_1964_c14,A,17,A17,0.0,False
Aniline,gen3,AncFDMO_2494_c16,A,18,A18,0.0,False
Aniline,gen3,AncFDMO_1443_c20,A,19,A19,0.0,False
Aniline,gen3,AncFDMO_1000_c24,A,20,A20,0.0,False
Aniline,gen3,AncFDMO_1482_c27,A,21,A21,0.0,False
Aniline,gen3,AncFDMO_1139_c31,A,22,A22,0.0,False
Aniline,gen3,AncFDMO_173_c34,A,23,A23,0.0,False
Aniline,gen3,AncFDMO_207_c38,A,24,A24,0.0,False
Aniline,gen3,AncFDMO_522_c1,A,25,A25,0.0,False
Aniline,gen3,AncFDMO_1244_c5,A,26,A26,0.0,False
Aniline,gen3,AncFDMO_555_c9,A,27,A27,0.0,False
Aniline,gen3,AncFDMO_433_c12,A,28,A28,0.0,False
Aniline,gen3,AncFDMO_1536_c14,A,29,A29,0.0,False
Aniline,gen3,AncFDMO_1961_c16,A,30,A30,0.04017829767691838,True
Aniline,gen3,AncFDMO_1059_c20,A,31,A31,0.0,False
Aniline,gen3,AncFDMO_758_c24,A,32,A32,0.0,False
Aniline,gen3,AncFDMO_1134_c27,A,33,A33,0.0,False
Aniline,gen3,AncFDMO_917_c31,A,34,A34,0.0,False
Aniline,gen3,AncFDMO_145_c34,A,35,A35,0.0,False
Aniline,gen3,AncFDMO_188_c38,A,36,A36,0.0,False
Aniline,gen3,AncFDMO_854_c1,B,1,B1,0.0,False
Aniline,gen3,AncFDMO_2026_c5,B,2,B2,0.0,False
Aniline,gen3,AncFDMO_941_c9,B,3,B3,0.0,False
Aniline,gen3,AncFDMO_682_c12,B,4,B4,0.0,False
Aniline,gen3,AncFDMO_1846_c15,B,5,B5,0.0,False
Aniline,gen3,AncFDMO_1469_c18,B,6,B6,0.0,False
Aniline,gen3,AncFDMO_1251_c21,B,7,B7,0.0,False
Aniline,gen3,AncFDMO_1366_c24,B,8,B8,0.0,False
Aniline,gen3,AncFDMO_1860_c27,B,9,B9,0.0,False
Aniline,gen3,AncFDMO_1621_c31,B,10,B10,0.0,False
Aniline,gen3,AncFDMO_1362_c35,B,11,B11,0.0,False
Aniline,gen3,AncFDMO_1888_c39,B,12,B12,0.0,False
Aniline,gen3,AncFDMO_698_c1,B,13,B13,0.0,False
Aniline,gen3,AncFDMO_1629_c5,B,14,B14,0.0,False
Aniline,gen3,AncFDMO_867_c9,B,15,B15,0.0,False
Aniline,gen3,AncFDMO_630_c12,B,16,B16,0.0,False
Aniline,gen3,AncFDMO_1497_c15,B,17,B17,0.0,False
Aniline,gen3,AncFDMO_1191_c18,B,18,B18,0.002128,True
Aniline,gen3,AncFDMO_1566_c20,B,19,B19,0.0,False
Aniline,gen3,AncFDMO_1084_c24,B,20,B20,0.0,False
Aniline,gen3,AncFDMO_1605_c27,B,21,B21,0.0,False
Aniline,gen3,AncFDMO_1253_c31,B,22,B22,0.0,False
Aniline,gen3,AncFDMO_1086_c35,B,23,B23,0.0015741176096482712,True
